Bank Transaction ID,Entity Name,Transaction Date,Value Date,Description,Counterparty Name,Reference Number,Reference Missing in Source,Debit / Credit,Amount,Balance After Transaction,Currency,Reconciliation Candidate,Reconciliation Exclusion Reason
BANK-0001,MedSupplyCo,2024-01-03,2024-01-03,REMOTE DEP NORTH VALLEY HOSP,North Valley Hospital,DEP-0103-001,No,CREDIT,18750.0,168750,USD,Yes,
BANK-0002,MedSupplyCo,2024-01-04,2024-01-04,ACH CCD LABEQUIP INC,LabEquip Inc,ACH-240104-LEQ,No,DEBIT,7640.0,161110,USD,Yes,
BANK-0003,MedSupplyCo,2024-01-05,2024-01-05,LOCKBOX SUNRISE CLINIC,Sunrise Clinic,DEP-0105-001,No,CREDIT,12480.0,173590,USD,Yes,
BANK-0004,MedSupplyCo,2024-01-08,2024-01-08,PAYROLL FILE 240108,Payroll,PR-240108,No,DEBIT,14250.0,159340,USD,Yes,
BANK-0005,MedSupplyCo,2024-01-09,2024-01-09,ACH CR HORIZON MED GROUP,Horizon Medical Group,CCD-240109-HMG,No,CREDIT,9320.0,168660,USD,Yes,
BANK-0006,MedSupplyCo,2024-01-10,2024-01-10,ACH PMT CEDAR PROP RENT,Cedar Properties,ACH-240110-RENT,No,DEBIT,6800.0,161860,USD,Yes,
BANK-0007,MedSupplyCo,2024-01-11,2024-01-11,ACH CCD STERILE PACK LLC,Sterile Pack LLC,ACH-240111-SPL,No,DEBIT,4325.0,157535,USD,Yes,
BANK-0008,MedSupplyCo,2024-01-12,2024-01-12,REMOTE DEP LAKESIDE SURG,Lakeside Surgical,DEP-0112-001,No,CREDIT,8975.0,166510,USD,Yes,
BANK-0009,MedSupplyCo,2024-01-15,2024-01-15,ACH CCD UTILITIES HUB,Utilities Hub,ACH-240115-UHB,No,DEBIT,2890.0,163620,USD,Yes,
BANK-0010,MedSupplyCo,2024-01-16,2024-01-16,ACH PMT MEDTRANS COURIER,MedTrans Courier,ACH-240116-MTC,No,DEBIT,1860.0,161760,USD,Yes,
BANK-0011,MedSupplyCo,2024-01-17,2024-01-17,DEPOSIT PINNACLE HEALTH,Pinnacle Health,,Yes,CREDIT,11430.0,173190,USD,Yes,
BANK-0012,MedSupplyCo,2024-01-18,2024-01-18,IRS EFTPS TAX PMT,IRS EFTPS,,Yes,DEBIT,3780.0,169410,USD,Yes,
BANK-0013,MedSupplyCo,2024-01-19,2024-01-19,ACH CCD BIOWASTE SOLN,BioWaste Solutions,ACH-240119-BWS,No,DEBIT,2145.0,167265,USD,Yes,
BANK-0014,MedSupplyCo,2024-01-22,2024-01-22,LOCKBOX REGIONAL CARE,Regional Care Partners,DEP-0122-001,No,CREDIT,13200.0,180465,USD,Yes,
BANK-0015,MedSupplyCo,2024-01-24,2024-01-24,ACH CCD CLEANAIR DIAG,CleanAir Diagnostics,ACH-240124-CAD,No,DEBIT,2200.0,178265,USD,Yes,
BANK-0016,MedSupplyCo,2024-01-25,2024-01-25,REMOTE DEP EASTSIDE IMG,Eastside Imaging,DEP-0125-001,No,CREDIT,7560.0,185825,USD,Yes,
BANK-0017,MedSupplyCo,2024-01-26,2024-01-26,ACH CCD MEDSUPPLY WHSE,MedSupply Wholesale,ACH-240126-MSW,No,DEBIT,9635.0,176190,USD,Yes,
BANK-0018,MedSupplyCo,2024-01-29,2024-01-29,ACH PMT HARBOR INSURANCE,Harbor Insurance,ACH-240129-HIC,No,DEBIT,4210.0,171980,USD,Yes,
BANK-0019,MedSupplyCo,2024-01-29,2024-01-29,DEPOSIT WESTBROOK CLINIC,Westbrook Clinic,DEP-0129-001,No,CREDIT,10450.0,182430,USD,Yes,
BANK-0020,MedSupplyCo,2024-01-30,2024-01-30,ACH LEASE APEX EQUIP FIN,Apex Equipment Finance,ACH-240130-AEF,No,DEBIT,1980.0,180450,USD,Yes,
BANK-0021,MedSupplyCo,2024-01-30,2024-01-30,MONTHLY SERVICE CHARGE,First Regional Bank,FEE-0130,No,DEBIT,120.0,180330,USD,Yes,
BANK-0022,MedSupplyCo,2024-01-31,2024-01-31,REMOTE DEP CITYLAB NETWK,CityLab Network,DEP-0131-001,No,CREDIT,17770.0,198100,USD,Yes,
BANK-0023,MedSupplyCo,2024-01-31,2024-01-31,INTEREST PAID,First Regional Bank,INT-0131,No,CREDIT,35.0,198135,USD,Yes,
